時間,成交價,成交張數
2024-05-19 12:43:30,511.0,1.0
2024-05-19 12:43:25,511.0,1.0
2024-05-19 12:43:15,511.0,1.0
2024-05-19 12:43:10,511.0,1.0
2024-05-19 12:43:05,511.0,15.0
2024-05-19 12:42:30,511.0,1.0
2024-05-19 12:42:25,511.0,1.0
2024-05-19 12:42:20,511.0,3.0
2024-05-19 12:42:15,511.0,1.0
2024-05-19 12:42:05,511.0,1.0
2024-05-19 12:41:55,511.0,1.0
2024-05-19 12:41:50,511.0,1.0
2024-05-19 12:41:45,511.0,2.0
2024-05-19 12:41:35,511.0,1.0
2024-05-19 12:41:30,511.0,1.0
2024-05-19 12:41:25,512.0,8.0
2024-05-19 12:41:20,511.0,1.0
2024-05-19 12:41:15,511.0,3.0
2024-05-19 12:41:10,512.0,5.0
2024-05-19 12:41:05,511.0,6.0
2024-05-19 12:41:00,511.0,1.0
2024-05-19 12:40:55,511.0,1.0
2024-05-19 12:40:50,512.0,1.0
2024-05-19 12:40:45,512.0,3.0
2024-05-19 12:40:40,512.0,1.0
2024-05-19 12:40:30,512.0,1.0
2024-05-19 12:40:25,511.0,1.0
2024-05-19 12:40:15,511.0,1.0
2024-05-19 12:40:10,511.0,1.0
2024-05-19 12:40:05,511.0,3.0
2024-05-19 12:40:00,512.0,1.0
2024-05-19 12:39:55,512.0,1.0
2024-05-19 12:39:50,511.0,4.0
2024-05-19 12:39:40,511.0,1.0
2024-05-19 12:39:35,511.0,1.0
2024-05-19 12:39:25,511.0,1.0
2024-05-19 12:39:20,511.0,1.0
2024-05-19 12:39:10,511.0,1.0
2024-05-19 12:39:05,511.0,1.0
2024-05-19 12:38:55,511.0,1.0
2024-05-19 12:38:50,511.0,1.0
2024-05-19 12:38:40,511.0,1.0
2024-05-19 12:38:35,511.0,2.0
2024-05-19 12:38:30,510.0,2.0
2024-05-19 12:38:20,511.0,1.0
2024-05-19 12:38:15,511.0,1.0
2024-05-19 12:38:05,511.0,1.0
2024-05-19 12:38:00,511.0,1.0
2024-05-19 12:37:50,511.0,1.0
2024-05-19 12:37:45,511.0,1.0
2024-05-19 12:37:35,511.0,1.0
2024-05-19 12:37:30,511.0,1.0
2024-05-19 12:37:25,511.0,2.0
2024-05-19 12:37:15,511.0,1.0
2024-05-19 12:37:10,511.0,1.0
2024-05-19 12:37:00,511.0,1.0
2024-05-19 12:36:55,511.0,1.0
2024-05-19 12:36:45,511.0,1.0
2024-05-19 12:36:40,511.0,1.0
2024-05-19 12:36:35,511.0,1.0
2024-05-19 12:36:25,511.0,1.0
2024-05-19 12:36:20,511.0,7.0
2024-05-19 12:36:10,512.0,1.0
2024-05-19 12:36:05,512.0,1.0
2024-05-19 12:35:55,512.0,2.0
2024-05-19 12:35:50,512.0,1.0
2024-05-19 12:35:40,511.0,1.0
2024-05-19 12:35:35,511.0,3.0
2024-05-19 12:35:30,512.0,1.0
2024-05-19 12:35:20,512.0,1.0
2024-05-19 12:35:15,512.0,2.0
2024-05-19 12:35:10,512.0,8.0
2024-05-19 12:35:05,511.0,1.0
2024-05-19 12:35:00,511.0,1.0
2024-05-19 12:34:55,511.0,1.0
2024-05-19 12:34:45,511.0,1.0
2024-05-19 12:34:40,511.0,1.0
2024-05-19 12:34:30,511.0,1.0
2024-05-19 12:34:25,511.0,1.0
