時間,成交價,成交張數
12:45:10,170.0,1
12:45:05,170.0,2
12:45:00,170.0,9
12:44:55,170.0,3
12:44:50,170.0,8
12:44:45,170.0,1
12:44:40,170.0,4
12:44:35,170.0,3
12:44:30,169.5,4
12:44:20,170.0,1
12:44:15,170.0,5
12:44:00,169.5,8
12:43:55,169.5,3
12:43:50,170.0,7
12:43:45,169.5,29
12:43:40,170.0,35
12:43:35,170.0,1
12:43:30,169.5,6
12:43:25,170.0,11
12:43:15,170.0,4
12:43:10,170.0,5
12:43:05,170.0,2
12:43:00,169.5,2
12:42:55,169.5,8
12:42:35,169.5,2
12:42:30,169.5,5
12:42:25,170.0,3
12:42:20,170.0,4
12:42:15,170.0,8
12:42:10,170.0,8
12:42:05,170.0,4
12:42:00,169.5,2
12:41:55,170.0,8
12:41:45,170.0,1
12:41:40,170.0,7
12:41:35,170.0,8
12:41:30,169.5,4
12:41:20,170.0,7
12:41:15,170.0,16
12:41:00,169.5,6
12:40:55,170.0,1
12:40:50,170.0,1
12:40:45,169.5,2
12:40:40,170.0,5
12:40:35,169.5,3
12:40:30,169.5,8
12:40:25,170.0,2
12:40:20,170.0,10
12:40:15,170.0,2
12:40:10,170.0,2
12:40:00,169.5,21
12:39:55,169.5,2
12:39:50,170.0,7
12:39:45,170.0,1
12:39:40,170.0,2
12:39:35,170.0,2
12:39:30,169.5,2
12:39:25,170.0,10
12:39:20,170.0,8
12:39:15,170.0,8
12:39:10,170.0,2
12:39:05,170.0,9
12:39:00,170.0,4
12:38:55,170.0,8
12:38:50,170.0,5
12:38:45,170.0,9
12:38:40,170.0,75
12:38:35,170.0,8
12:38:30,170.0,5
12:38:15,170.0,1
12:38:10,170.0,9
12:38:05,170.5,1
12:38:00,170.0,11
12:37:55,170.5,8
12:37:50,170.0,2
12:37:45,170.0,3
12:37:40,170.0,3
12:37:35,170.0,3
12:37:30,170.0,3
12:37:25,170.0,9
12:37:20,170.0,2
12:37:15,170.0,9
12:37:10,170.0,4
12:37:00,170.0,9
12:36:55,170.0,7
12:36:50,170.0,4
12:36:45,170.5,1
12:36:40,170.0,4
12:36:35,170.0,4
12:36:30,170.0,3
12:36:25,170.0,2
12:36:20,170.0,2
12:36:10,170.0,2
12:36:05,170.0,2
12:35:55,170.0,3
12:35:45,170.0,22
12:35:40,170.0,18
12:35:35,170.0,12
12:35:30,170.0,156
12:35:25,169.5,2
12:35:20,170.0,1
12:35:15,170.0,5
12:35:05,170.0,1
12:35:00,169.5,9
12:34:55,170.0,2
12:34:40,169.5,1
12:34:35,170.0,6
12:34:30,170.0,7
12:34:25,169.5,1
12:34:20,170.0,3
12:34:15,170.0,1
12:34:10,169.5,9
12:34:05,170.0,19
12:34:00,169.5,2
12:33:55,170.0,6
12:33:50,170.0,1
12:33:45,170.0,1
12:33:35,170.0,3
12:33:30,169.5,6
12:33:25,170.0,3
12:33:20,170.0,1
12:33:15,169.5,2
12:33:05,169.5,6
12:33:00,169.5,23
12:32:55,170.0,97
12:32:50,170.0,3
12:32:45,170.0,8
12:32:40,170.0,2
12:32:35,170.0,10
12:32:30,170.0,65
12:32:25,170.0,2
12:32:20,170.0,1
12:32:15,170.0,1
12:32:10,170.0,10
12:32:05,170.0,4
12:32:00,170.0,8
12:31:55,170.0,2
12:31:50,170.0,7
12:31:45,170.0,1
12:31:35,170.0,3
12:31:30,170.0,5
12:31:25,170.0,1
12:31:20,170.0,12
12:31:15,170.0,6
12:31:10,170.0,18
12:31:05,170.0,2
12:31:00,170.0,5
12:30:55,170.0,1
12:30:50,170.0,1
12:30:45,170.0,9
12:30:40,170.0,2
12:30:35,170.0,20
12:30:30,170.0,8
12:30:25,170.5,5
12:30:20,170.0,7
12:30:15,170.0,2
12:30:10,170.0,36
12:30:05,170.0,941
12:30:00,169.5,7
12:29:55,169.5,7
12:29:50,169.5,2
12:29:45,169.5,7
12:29:40,170.0,2
12:29:30,169.5,5
